#CapitalLongitude	CapitalLatitude	CapitalName	CountryName
69.183333	34.51666667	Kabul	Afghanistan
19.9	60.116667	Mariehamn	Aland Islands
19.816667	41.31666667	Tirana	Albania
3.05	36.75	Algiers	Algeria
-170.7	-14.26666667	Pago Pago	American Samoa
1.516667	42.5	Andorra la Vella	Andorra
13.216667	-8.833333333	Luanda	Angola
-63.05	18.21666667	The Valley	Anguilla
-61.85	17.11666667	Saint John's	Antigua and Barbuda
-58.666667	-34.58333333	Buenos Aires	Argentina
44.5	40.16666667	Yerevan	Armenia
-70.033333	12.51666667	Oranjestad	Aruba
149.133333	-35.26666667	Canberra	Australia
16.366667	48.2	Vienna	Austria
49.866667	40.38333333	Baku	Azerbaijan
-77.35	25.08333333	Nassau	Bahamas
50.566667	26.23333333	Manama	Bahrain
90.4	23.71666667	Dhaka	Bangladesh
-59.616667	13.1	Bridgetown	Barbados
27.566667	53.9	Minsk	Belarus
4.333333	50.83333333	Brussels	Belgium
-88.766667	17.25	Belmopan	Belize
2.616667	6.483333333	Porto-Novo	Benin
-64.783333	32.28333333	Hamilton	Bermuda
89.633333	27.46666667	Thimphu	Bhutan
-68.15	-16.5	La Paz	Bolivia
18.416667	43.86666667	Sarajevo	Bosnia and Herzegovina
25.9	-24.63333333	Gaborone	Botswana
-47.916667	-15.78333333	Brasilia	Brazil
72.4	-7.3	Diego Garcia	British Indian Ocean Territory
-64.616667	18.41666667	Road Town	British Virgin Islands
114.933333	4.883333333	Bandar Seri Begawan	Brunei Darussalam
23.316667	42.68333333	Sofia	Bulgaria
-1.516667	12.36666667	Ouagadougou	Burkina Faso
29.35	-3.366666667	Bujumbura	Burundi
104.916667	11.55	Phnom Penh	Cambodia
11.516667	3.866666667	Yaounde	Cameroon
-75.7	45.41666667	Ottawa	Canada
-23.516667	14.91666667	Praia	Cape Verde
-81.383333	19.3	George Town	Cayman Islands
18.583333	4.366666667	Bangui	Central African Republic
15.033333	12.1	N'Djamena	Chad
-70.666667	-33.45	Santiago	Chile
116.383333	39.91666667	Beijing	China
105.716667	-10.41666667	The Settlement	Christmas Island
96.833333	-12.16666667	West Island	Cocos Islands
-74.083333	4.6	Bogota	Colombia
43.233333	-11.7	Moroni	Comoros
-159.766667	-21.2	Avarua	Cook Islands
-84.083333	9.933333333	San Jose	Costa Rica
-5.266667	6.816666667	Yamoussoukro	Cote d'Ivoire
16	45.8	Zagreb	Croatia
-82.35	23.11666667	Havana	Cuba
-68.916667	12.1	Willemstad	Curaçao
33.366667	35.16666667	Nicosia	Cyprus
14.466667	50.08333333	Prague	Czech Republic
15.3	-4.316666667	Kinshasa	Democratic Republic of the Congo
12.583333	55.66666667	Copenhagen	Denmark
43.15	11.58333333	Djibouti	Djibouti
-61.4	15.3	Roseau	Dominica
-69.9	18.46666667	Santo Domingo	Dominican Republic
-78.5	-0.2166666667	Quito	Ecuador
31.25	30.05	Cairo	Egypt
-89.2	13.7	San Salvador	El Salvador
8.783333	3.75	Malabo	Equatorial Guinea
38.933333	15.33333333	Asmara	Eritrea
24.716667	59.43333333	Tallinn	Estonia
38.7	9.033333333	Addis Ababa	Ethiopia
-6.766667	62	Torshavn	Faroe Islands
158.15	6.916666667	Palikir	Federated States of Micronesia
178.416667	-18.13333333	Suva	Fiji
